  Packet #,    ADC,      Pitch,       Roll,        Yaw,   AccX,   AccY,   AccZ,  GyroX,  GyroY,  GyroZ,   MagX,   MagY,   MagZ,   Temp
     39961,    198,      0.550,   -166.474,    -71.423,  -1545,     92,    999,   -344, -11371,   -254,     14,    736,    -41,   3097
     39962,    195,      8.707,   -167.088,    -69.462,  -1214,     66,   1071,   -337, -11416,   -246,    100,    490,      0,   3093
     39963,    196,     16.897,   -167.433,    -67.538,   -861,     73,   1021,   -338, -11451,   -252,    115,    158,   -152,   3097
     39964,    197,     24.998,   -167.501,    -65.506,   -544,     53,    872,   -336, -11475,   -241,    129,      0,   -235,   3095
     39965,    196,     32.709,   -167.295,    -63.267,   -334,     37,    653,   -329, -11483,   -249,    122,   -122,   -284,   3097
     39966,    194,     39.934,   -166.830,    -60.852,   -238,     20,    539,   -326, -11488,   -255,    201,   -375,   -541,   3096
     39967,    193,     46.298,   -166.271,    -58.318,   -165,     11,    320,   -331, -11481,   -250,    194,   -526,   -700,   3097
     39968,    193,     52.048,   -165.538,    -55.574,   -134,      4,    137,   -331, -11455,   -268,    179,   -584,   -922,   3097
     39969,    196,     57.406,   -164.393,    -52.398,   -104,      2,     33,   -325, -11436,   -264,    151,   -570,  -1172,   3095
     39970,    194,     62.429,   -162.421,    -48.318,    -89,    -32,   -120,   -329, -11422,   -265,    129,   -476,  -1443,   3097
     39971,    198,     67.200,   -159.253,    -42.941,   -103,    -45,   -315,   -348, -11405,   -268,    151,   -411,  -1658,   3094
     39972,    199,     71.743,   -153.039,    -34.573,   -130,    -34,   -515,   -340, -11390,   -248,     79,   -238,  -1880,   3096
     39973,    192,     75.885,   -140.804,    -20.591,   -247,     45,   -742,   -344, -11372,   -265,     28,     14,  -2081,   3095
     39974,    198,     78.834,   -118.618,      3.016,   -460,     40,   -916,   -344, -11354,   -226,     71,    129,  -2192,   3093
     39975,    198,     79.677,    -87.681,     34.939,   -594,     26,   -978,   -341, -11341,   -214,     -7,    469,  -2282,   3097
     39976,    196,     78.162,    -59.689,     63.825,   -924,     75,  -1060,   -333, -11313,   -268,     14,    750,  -2275,   3095
     39977,    196,     75.166,    -42.050,     82.259,  -1279,    112,   -978,   -319, -11288,   -221,    -28,   1025,  -2289,   3094
     39978,    197,     71.353,    -31.799,     93.276,  -1546,     85,   -833,   -330, -11263,   -250,    -50,   1349,  -2199,   3095
     39979,    195,     67.127,    -25.358,    100.470,  -1755,    138,   -635,   -331, -11253,   -263,    -50,   1653,  -2004,   3096
     39980,    195,     62.624,    -21.154,    105.444,  -1874,     91,   -436,   -330, -11252,   -237,      0,   1790,  -1762,   3093
     39981,    196,     58.092,    -18.290,    109.040,  -1946,    121,   -233,   -326, -11261,   -269,    -28,   1920,  -1637,   3094
     39982,    196,     53.473,    -16.256,    111.827,  -1962,     70,    -70,   -338, -11266,   -235,    -79,   1956,  -1325,   3094
     39983,    196,     48.854,    -14.806,    114.040,  -2001,     69,     67,   -340, -11268,   -266,    -28,   1949,  -1137,   3096
     39984,    195,     44.249,    -13.716,    115.910,  -2016,     88,    150,   -328, -11271,   -269,     28,   1920,   -888,   3094
     39985,    197,     39.606,    -12.862,    117.562,  -2049,     69,    313,   -337, -11276,   -243,    -57,   1761,   -596,   3097
     39986,    198,     34.817,    -12.184,    119.069,  -2012,     86,    508,   -339, -11298,   -269,    -14,   1443,   -319,   3095
     39987,    198,     29.946,    -11.641,    120.473,  -1904,    101,    747,   -333, -11321,   -251,     71,   1227,   -152,   3096
     39988,    198,     24.947,    -11.257,    121.775,  -1695,     89,    956,   -343, -11355,   -252,     71,    851,    -27,   3097
     39989,    196,     19.938,    -10.997,    122.994,  -1403,     91,   1059,   -341, -11396,   -247,     79,    570,    -76,   3094
     39990,    195,     14.938,    -10.928,    124.139,  -1085,     62,   1044,   -341, -11429,   -239,     50,    252,    -76,   3097
     39991,    197,     10.025,    -11.073,    125.236,   -758,     49,    930,   -335, -11460,   -245,     86,     14,   -166,   3095
     39992,    196,      5.239,    -11.533,    126.326,   -509,     21,    752,   -333, -11473,   -238,    129,   -173,   -305,   3094
     39993,    196,      0.560,    -12.210,    127.469,   -394,     13,    653,   -323, -11480,   -248,    165,   -252,   -381,   3099
     39994,    196,     -4.292,    -13.185,    128.727,   -261,      7,    431,   -326, -11482,   -252,    151,   -411,   -520,   3096
     39995,    194,     -9.472,    -14.385,    130.166,   -171,      1,    268,   -333, -11466,   -256,    158,   -548,   -790,   3097
     39996,    198,    -14.968,    -15.760,    131.824,   -124,      0,     99,   -328, -11458,   -265,    179,   -628,  -1075,   3094
     39997,    197,    -20.551,    -17.420,    133.674,    -76,    -30,    -44,   -330, -11444,   -255,    129,   -591,  -1332,   3094
     39998,    194,    -26.117,    -19.452,    135.747,    -51,    -54,   -225,   -351, -11426,   -269,    143,   -519,  -1554,   3095
     39999,    197,    -31.483,    -21.937,    137.748,    -60,    -47,   -450,   -336, -11411,   -252,    100,   -303,  -1817,   3095
     40000,    197,    -37.307,    -24.958,    139.669,   -166,     35,   -669,   -348, -11396,   -259,     79,    -93,  -2046,   3094
     40001,    198,    -44.076,    -28.877,    142.430,   -338,     46,   -851,   -349, -11373,   -235,     64,    122,  -2143,   3096
     40002,    195,    -51.581,    -34.462,    147.212,   -444,      8,   -928,   -340, -11358,   -220,     57,    231,  -2289,   3096
     40003,    195,    -59.017,    -42.632,    155.137,   -725,     76,  -1014,   -337, -11332,   -262,     71,    577,  -2303,   3094
     40004,    196,    -65.332,    -55.727,    168.350,  -1043,     83,  -1014,   -324, -11306,   -224,      7,    902,  -2310,   3096
     40005,    197,    -69.384,    -75.902,   -171.162,  -1327,     67,   -910,   -327, -11281,   -248,    -50,   1219,  -2240,   3096
     40006,    193,    -70.065,   -101.066,   -145.553,  -1576,    109,   -764,   -325, -11271,   -265,    -28,   1443,  -2109,   3096
     40007,    197,    -67.126,   -123.026,   -123.060,  -1752,     84,   -572,   -333, -11265,   -238,    -50,   1667,  -1921,   3098
     40008,    198,    -61.893,   -137.887,   -107.580,  -1874,    122,   -361,   -327, -11264,   -278,    -21,   1898,  -1699,   3096
     40009,    192,    -55.369,   -147.197,    -97.591,  -1943,     89,   -188,   -331, -11263,   -236,    -28,   1934,  -1484,   3096
     40010,    193,    -48.212,   -153.258,    -90.793,  -2023,     78,    -19,   -335, -11263,   -267,    -35,   1970,  -1200,   3096
     40011,    196,    -40.749,   -157.515,    -85.756,  -2052,    102,     53,   -329, -11258,   -271,      7,   1970,  -1033,   3095
     40012,    197,    -33.085,   -160.519,    -81.914,  -2074,     81,    250,   -333, -11264,   -243,    -14,   1920,   -790,   3094
     40013,    196,    -25.253,   -162.730,    -78.809,  -2063,    107,    460,   -335, -11284,   -270,    -28,   1660,   -555,   3095
     40014,    199,    -17.334,   -164.479,    -76.141,  -1995,    123,    685,   -338, -11307,   -251,     50,   1479,   -353,   3094
     40015,    196,     -9.312,   -165.751,    -73.847,  -1803,     87,    850,   -343, -11339,   -251,     28,   1212,   -152,   3094
     40016,    194,     -1.226,   -166.719,    -71.756,  -1575,     98,    966,   -337, -11374,   -251,     43,    909,   -124,   3095
     40017,    194,      6.936,   -167.370,    -69.832,  -1271,     64,   1021,   -339, -11406,   -238,     71,    563,    -13,   3094
     40018,    198,     15.153,   -167.759,    -67.981,   -968,     48,    946,   -335, -11430,   -250,    129,    158,   -152,   3097
